"Nome","Icone","Descricao","Features","Imagem","Link","Pasta","CaminhoCompleto"
"Câmaras CFTV","fa-video","Sistemas de videovigilância com tecnologia IP e analógica para monitoramento 24/7.","4K, Visão noturna, IA, PoE","cftv.jpg","https://www.dpedrosolucoes.com/servicos/camaras-cftv","cftv","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\cftv\cftv.jpg"
"Alarmes intrusão","fa-bell","Sistemas de alarme com deteção perimetral, sensores de abertura e movimento.","Wireless, APP, GSM","alarmes.jpg","https://www.dpedrosolucoes.com/servicos/alarmes","alarmes","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\alarmes\alarmes.jpg"
"Sensores presença","fa-walking","Sensores de movimento com tecnologia PIR e micro-ondas para ambientes internos e externos.","12m, Anti-mascara, Pet friendly","sensores.jpg","https://www.dpedrosolucoes.com/servicos/sensores","sensores","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\sensores\sensores.jpg"
"Controlo acesso","fa-fingerprint","Soluções biométricas, RFID e cartão de proximidade para gestão de entradas.","Biometria, RFID, Facial","controlo-acesso.jpg","https://www.dpedrosolucoes.com/servicos/controlo-acesso","controlo-acesso","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\controlo-acesso\controlo-acesso.jpg"
"Vídeo-porteiros","fa-phone-alt","Sistemas de comunicação com vídeo e abertura remota para condomínios.","7"", APP, IP67","video-porteiro.jpg","https://www.dpedrosolucoes.com/servicos/video-porteiros","video-porteiro","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\video-porteiro\video-porteiro.jpg"
"Detecção incêndio","fa-fire-extinguisher","Centrais de incêndio, detetores de fumo, temperatura e CO.","Fumo, Calor, CO","incendio.jpg","https://www.dpedrosolucoes.com/servicos/deteccao-incendio","incendio","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\incendio\incendio.jpg"
"Cerca elétrica","fa-bolt","Cercas elétricas de alta tensão com sensores de corte e alarme.","10kV, Sensor, Perimetral","cerca-eletrica.jpg","https://www.dpedrosolucoes.com/servicos/cerca-eletrica","cerca-eletrica","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\cerca-eletrica\cerca-eletrica.jpg"
"Proteção perimetral","fa-shield-alt","Barreiras de infravermelhos, sensores de vibração e concertina.","IV, Vibração, Concertina","protecao-perimetral.jpg","https://www.dpedrosolucoes.com/servicos/protecao-perimetral","protecao-perimetral","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\protecao-perimetral\protecao-perimetral.jpg"
"Detecção gases","fa-wind","Sensores para deteção de GLP, GN, CO e outros gases tóxicos.","GLP, GN, CO","gases.jpg","https://www.dpedrosolucoes.com/servicos/deteccao-gases","gases","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\gases\gases.jpg"
"Gravadores digitais","fa-hdd","DVR e NVR com suporte para múltiplas câmaras e análise inteligente.","16 canais, 4K, H.265","gravadores.jpg","https://www.dpedrosolucoes.com/servicos/gravadores","gravadores","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\gravadores\gravadores.jpg"
"Monitoramento remoto","fa-satellite-dish","Acesso remoto via aplicativo para visualização de câmaras e receção de alertas.","APP, Alertas, Cloud","monitoramento.jpg","https://www.dpedrosolucoes.com/servicos/monitoramento","monitoramento","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\monitoramento\monitoramento.jpg"
"Gestão imagens VMS","fa-image","Software de gestão de vídeo com análise inteligente e integração.","VMS, IA, Relatórios","vms.jpg","https://www.dpedrosolucoes.com/servicos/vms","vms","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\vms\vms.jpg"
"Antena parabólica","fa-satellite","Instalação e alinhamento de antenas para TV e internet rural.","TV, Internet, Alinhamento","antena.jpg","https://www.dpedrosolucoes.com/servicos/antena","antena","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\antena\antena.jpg"
"Sistema Off Grid","fa-solar-panel","Painéis solares, inversores e baterias para independência energética.","Solar, Inversor, Bateria","off-grid.jpg","https://www.dpedrosolucoes.com/servicos/off-grid","off-grid","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\off-grid\off-grid.jpg"
"Gráfica & Brindes","fa-print","Impressão offset/digital, cartões, flyers, faixas e brindes personalizados.","Offset, Digital, Brindes","grafica.jpg","https://www.dpedrosolucoes.com/servicos/grafica","grafica","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\grafica\grafica.jpg"
"GPS Moto/Carro","fa-map-pin","Rastreadores veiculares com corte de motor e cerca eletrónica.","Corte, Cerca, APP","gps.jpg","https://www.dpedrosolucoes.com/servicos/gps","gps","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\gps\gps.jpg"
"Hardware/Software","fa-microchip","Venda de equipamentos e desenvolvimento de software personalizado.","Hardware, Software, Sistemas","hardware.jpg","https://www.dpedrosolucoes.com/servicos/hardware-software","hardware","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\hardware\hardware.jpg"
"Biossegurança","fa-shield-virus","Equipamentos de proteção e controlo de acesso sanitário.","EPI, Controlo, Higiene","biosseguranca.jpg","https://www.dpedrosolucoes.com/servicos/biosseguranca","biosseguranca","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\biosseguranca\biosseguranca.jpg"
"Cofres alta segurança","fa-lock","Cofres à prova de fogo e arrombamento com fechadura biométrica.","Fogo, Biometria, Digital","cofres.jpg","https://www.dpedrosolucoes.com/servicos/cofres","cofres","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\cofres\cofres.jpg"
"Design gráfico","fa-pen-fancy","Criação de logotipos, identidade visual e materiais promocionais.","Logotipo, Branding, Editorial","design.jpg","https://www.dpedrosolucoes.com/servicos/design","design","C:\Users\D.PEDRO  SOLUÇÕES\Documents\D.PEDRO SOLUÇÕES\ADMINISTRAÇÕES\markeng digital\design\design.jpg"
